,master_order_id,master_order_status,created,order_id,order_status,ordereditem_quantity,prod_names,ordereditem_unit_price_net,ordereditem_product_id,value,group,dist_names,retailer_names,bill_amount
1,25651,delivered,12/18/2017 10:41,25651,delivered,5,ProdName1,43,1744,215,Hyderabad,DistName1,RetailerID2,809
2,25651,delivered,12/18/2017 10:41,25651,delivered,5,ProdName2,35.54,965,177.7,Hyderabad,DistName1,RetailerID2,809
3,25651,delivered,12/18/2017 10:41,25651,delivered,2,ProdName3,52.8,705,105.6,Hyderabad,DistName3,RetailerID29,809
4,25651,delivered,12/18/2017 10:41,25651,delivered,2,ProdName4,118.28,264,236.56,Hyderabad,DistName1,RetailerID87,809
5,25651,delivered,12/18/2017 10:41,25651,delivered,3,ProdName5,32.22,1025,96.66,Hyderabad,DistName4,RetailerID118,809
6,25651,delivered,12/18/2017 10:41,25651,delivered,2,ProdName6,12.6,NA,25.2,Hyderabad,DistName7,RetailerID112,809
7,25652,delivered,12/19/2017 6:48,25652,delivered,2,ProdName7,107.86,5192,215.72,Hyderabad,DistName1,RetailerID116,566
8,25652,delivered,12/19/2017 6:48,25652,delivered,3,ProdName8,31.25,5452,93.75,Hyderabad,DistName6,RetailerID55,566
9,25652,delivered,12/19/2017 6:48,25652,delivered,2,ProdName9,61.88,4383,123.76,Hyderabad,DistName1,RetailerID13,566
10,25654,delivered,12/19/2017 7:57,25654,delivered,5,ProdName10,19.44,922,97.2,Hyderabad,DistName1,RetailerID56,468
11,25654,delivered,12/19/2017 7:57,25654,delivered,1,ProdName11,80,4049,80,Hyderabad,DistName1,RetailerID141,468
12,25654,delivered,12/19/2017 7:57,25654,delivered,1,ProdName12,85.59,2242,85.59,Hyderabad,DistName3,RetailerID37,468
13,25654,delivered,12/19/2017 7:57,25654,delivered,1,ProdName13,77.86,2747,77.86,Hyderabad,DistName1,RetailerID16,468
14,25654,delivered,12/19/2017 7:57,25654,delivered,2,ProdName14,36.15,851,72.3,Hyderabad,DistName3,RetailerID34,468
15,25653,delivered,12/19/2017 7:31,25653,delivered,1,ProdName15,33.65,1093,33.65,Hyderabad,DistName3,RetailerID44,1519
16,25653,delivered,12/19/2017 7:31,25653,delivered,1,ProdName16,497.14,5581,497.14,Hyderabad,DistName1,RetailerID21,1519
17,25653,delivered,12/19/2017 7:31,25653,delivered,2,ProdName17,16.07,667,32.14,Hyderabad,DistName1,RetailerID149,1519
18,25653,delivered,12/19/2017 7:31,25653,delivered,2,ProdName18,31.5,122,63,Hyderabad,DistName1,RetailerID79,1519
19,25653,delivered,12/19/2017 7:31,25653,delivered,3,ProdName14,36.15,851,108.45,Hyderabad,DistName3,RetailerID34,1519
20,25653,delivered,12/19/2017 7:31,25653,delivered,3,ProdName19,18.04,1844,54.12,Hyderabad,DistName1,RetailerID58,1519
21,25653,delivered,12/19/2017 7:31,25653,delivered,3,ProdName20,4.64,828,13.92,Hyderabad,DistName9,RetailerID81,1519
22,25653,delivered,12/19/2017 7:31,25653,delivered,1,ProdName21,114.2,218,114.2,Hyderabad,DistName4,RetailerID181,1519
23,25653,delivered,12/19/2017 7:31,25653,delivered,2,ProdName22,38.03,1343,76.06,Hyderabad,DistName1,RetailerID177,1519
24,25653,delivered,12/19/2017 7:31,25653,delivered,3,ProdName23,19.83,10,59.49,Hyderabad,DistName3,RetailerID44,1519
25,25653,delivered,12/19/2017 7:31,25653,delivered,2,ProdName24,71.89,5348,143.78,Hyderabad,DistName3,RetailerID27,1519
26,25653,delivered,12/19/2017 7:31,25653,delivered,2,ProdName25,29.7,2667,59.4,Hyderabad,DistName3,RetailerID101,1519
27,25655,delivered,12/19/2017 8:49,25655,delivered,2,ProdName26,42.07,261,84.14,Hyderabad,DistName1,RetailerID109,1159
28,25655,delivered,12/19/2017 8:49,25655,delivered,10,ProdName27,36.33,744,363.3,Hyderabad,DistName3,RetailerID123,1159
